feature,family,mask,model,n,squared_error_sum,truth_energy_sum,rmse_sd,r2
TAG52:5-FA16:1,TAG,4,population_mean,1539,1589.9107550981098,1589.9107550981098,1.0164056339224696,0.0
TAG52:5-FA16:1,TAG,4,random_group_score_ridge,1539,345.4926345941919,1589.9107550981098,0.4738054879505729,0.7826968378656749
TAG52:5-FA18:1,TAG,3,all_visible_ridge,1539,5.361627314840029,1559.561776666097,0.059024049430737115,0.9965620936630663
TAG52:5-FA18:1,TAG,3,family_score_ridge,1539,425.2174749463209,1559.561776666097,0.5256373803161773,0.7273481042505954
TAG52:5-FA18:1,TAG,3,population_mean,1539,1559.561776666097,1559.561776666097,1.0066580743556524,0.0
TAG52:5-FA18:1,TAG,3,random_group_score_ridge,1539,266.3593228213158,1559.561776666097,0.41602041330847456,0.8292088669993459
TAG52:5-FA18:2,TAG,3,all_visible_ridge,1539,2.2128949955334782,1580.0192535897183,0.03791936826511475,0.9985994506139683
TAG52:5-FA18:2,TAG,3,family_score_ridge,1539,669.0181554038084,1580.0192535897183,0.6593251494020637,0.57657594748682
TAG52:5-FA18:2,TAG,3,population_mean,1539,1580.0192535897183,1580.0192535897183,1.0132389581032406,0.0
TAG52:5-FA18:2,TAG,3,random_group_score_ridge,1539,426.4320731841806,1580.0192535897183,0.5263875646478,0.7301095716299976
TAG52:5-FA18:3,TAG,4,all_visible_ridge,1539,2.888030519607975,1560.4225815325042,0.04331931486855425,0.9981491997400015
TAG52:5-FA18:3,TAG,4,family_score_ridge,1539,595.8934815958835,1560.4225815325042,0.62225014640551,0.618120444648621
TAG52:5-FA18:3,TAG,4,population_mean,1539,1560.4225815325042,1560.4225815325042,1.0069358500242234,0.0
TAG52:5-FA18:3,TAG,4,random_group_score_ridge,1539,278.8853145375854,1560.4225815325042,0.42569006358951683,0.8212757762940794
TAG52:5-FA20:4,TAG,3,all_visible_ridge,1539,4.347972058820248,1602.2377965358696,0.053152544818436724,0.997286312887999
TAG52:5-FA20:4,TAG,3,family_score_ridge,1539,445.705842841517,1602.2377965358696,0.538151870055889,0.7218229130500112
TAG52:5-FA20:4,TAG,3,population_mean,1539,1602.2377965358696,1602.2377965358696,1.0203382704687456,0.0
TAG52:5-FA20:4,TAG,3,random_group_score_ridge,1539,365.74617928699496,1602.2377965358696,0.48749547525398546,0.7717279045109539
TAG52:5-FA20:5,TAG,2,all_visible_ridge,1539,11.168707737268647,1576.9917963636467,0.08518873186761027,0.9929177134827065
TAG52:5-FA20:5,TAG,2,family_score_ridge,1539,718.0366185897798,1576.9917963636467,0.6830523449240838,0.5446795473220052
TAG52:5-FA20:5,TAG,2,population_mean,1539,1576.9917963636467,1576.9917963636467,1.0122677647375402,0.0
TAG52:5-FA20:5,TAG,2,random_group_score_ridge,1539,618.549457169331,1576.9917963636467,0.633968829196931,0.6077662175569767
TAG52:5-FA22:5,TAG,1,all_visible_ridge,1539,28.774845255155448,1548.5002849730454,0.13673735930224376,0.9814176041590743
