assay_metabolite_id,mapping_status,mapping_reason,human_gem_base_id,display_name,matched_by,candidate_human_gem_base_ids,hmdb_id,chebi_id,mapping_origin
C52:3 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C52:2 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C52:1 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:7 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:6 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:5 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:4 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:3 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:2 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C54:1 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:8 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:7 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:6 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:5 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:4 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:3 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C56:2 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C58:8 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C58:7 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C58:6 TAG,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
