sample_id,subject_id,mask,repeat,fold,model,hidden_features,mean_squared_error,truth_energy,precision_at_k,ndcg_at_k
02252019_C5_batch05-__24__ZJNO47T-02_330,ZJNO47T,0,0,0,population_mean,103,0.5304045836030538,0.5304045836030538,0.0,0.2595091868554195
03112019_C5_batch12-__324__ZJNO47T-03_811,ZJNO47T,0,0,0,population_mean,103,0.4989018642826403,0.4989018642826403,0.0,0.0207026041213559
03132019_C5_batch13-__1116__ZJNO47T-01_894,ZJNO47T,0,0,0,population_mean,103,0.770487370559482,0.770487370559482,0.0,0.3031729392141936
04012019_C5_batch17-New_126_NewZPQA8W2-03,ZPQA8W2,0,0,0,population_mean,103,1.4499602881366571,1.4499602881366571,0.3333333333333333,0.7008350285112425
04102019_C5_batch21-__741__ZPQA8W2-01_1329,ZPQA8W2,0,0,0,population_mean,103,1.4887902173527154,1.4887902173527154,0.6666666666666666,0.7005746073149165
04172019_C5_batch23-__1391__ZNQOVZV-01_1439,ZNQOVZV,0,0,0,population_mean,103,0.4651284540700137,0.4651284540700137,0.3333333333333333,0.6322264523123501
02122019_C5_batch01-ZSMO1UM-01_33,ZSMO1UM,0,0,0,population_mean,103,1.5300593531350932,1.5300593531350932,0.0,0.5474205068220642
02122019_C5_batch01-ZUG7QHE-04_41,ZUG7QHE,0,0,0,population_mean,103,0.8825432974256102,0.8825432974256102,0.0,0.4374507822513663
02132019_C5_batch02-ZUG7QHE-11_58,ZUG7QHE,0,0,0,population_mean,103,0.6327098505292524,0.6327098505292524,0.6666666666666666,0.7355726506612614
02182019_C5_batch03-ZTXWLP3-01_120,ZTXWLP3,0,0,0,population_mean,103,0.7577503564600361,0.7577503564600361,0.0,0.1830111818805314
02182019_C5_batch03-ZTXWLP3-05_114,ZTXWLP3,0,0,0,population_mean,103,0.7770318252964595,0.7770318252964595,0.0,0.4520052824494639
02182019_C5_batch03-ZUG7QHE-02_140,ZUG7QHE,0,0,0,population_mean,103,0.7706235884401026,0.7706235884401026,0.3333333333333333,0.5031754852116914
